건물용도코드,건물종류,건물일련번호,가점척도,경도,위도
15001,주유소,53444,2,127.1268315634,36.7858505279
15001,주유소,53446,2,127.12672650190001,36.785835350700005
15001,주유소,53445,2,127.1268353392,36.7859329099
15001,주유소,53458,2,127.12986476879999,36.7856571779
15001,주유소,53459,2,127.1298748918,36.7857617772
15001,주유소,53457,2,127.1299791316,36.7856368812
15001,주유소,53473,2,127.2092398224,36.7814596995
15001,주유소,135387,2,127.21999471870001,36.774760183699996
15001,주유소,135388,2,127.22013184299999,36.7746806433
15001,주유소,135201,2,127.22504888639999,36.7714845367
15001,주유소,53468,2,127.2398936735,36.7649753603
15001,주유소,26374,2,127.1263824933,36.7748482647
15001,주유소,26363,2,127.12845720879999,36.789249602699996
15001,주유소,26365,2,127.1283903953,36.7892022706
15001,주유소,26366,2,127.12852223200001,36.789454754699996
15001,주유소,26364,2,127.12838267110001,36.7894778167
15001,주유소,66596,2,127.1302749847,36.8134560404
15001,주유소,66595,2,127.1301460264,36.8134652935
15001,주유소,66525,2,127.13022666350001,36.8168495207
15001,주유소,66524,2,127.13034899520001,36.8168198599
15001,주유소,66526,2,127.1301419201,36.816810120599996
15001,주유소,66527,2,127.13020421629999,36.8167674958
15001,주유소,8635,2,127.1336615374,36.8099900124
15001,주유소,8642,2,127.13387851120001,36.813100413499996
15001,주유소,8643,2,127.1337469587,36.8131235911
15001,주유소,8644,2,127.13380218309999,36.8132538833
15001,주유소,74785,2,127.16535187,36.768675703
15001,주유소,74790,2,127.1651967557,36.7684168771
15001,주유소,74788,2,127.1651922751,36.768701795
15001,주유소,74792,2,127.1653607232,36.768180491100004
15001,주유소,74786,2,127.1652616204,36.7685502104
15001,주유소,74793,2,127.1653649948,36.7680007763
15001,주유소,74791,2,127.1652205284,36.7682050253
15001,주유소,74787,2,127.16519207520001,36.7685523203
15001,주유소,74794,2,127.1653726236,36.7679665565
15001,주유소,74761,2,127.165119165,36.7768307789
15001,주유소,74763,2,127.1651589549,36.7767865556
15001,주유소,74762,2,127.1649190316,36.7768380845
15001,주유소,74765,2,127.1648016515,36.7765579024
15001,주유소,74764,2,127.1651513079,36.776902975700004
15001,주유소,74732,2,127.16420335459999,36.7951071659
15001,주유소,74731,2,127.16429397530001,36.7951082791
15001,주유소,74697,2,127.1651316778,36.7958740726
15001,주유소,74698,2,127.165380515,36.795783694899995
15001,주유소,74696,2,127.1650028925,36.7958950177
15001,주유소,74567,2,127.1640122174,36.8066977514
15001,주유소,74495,2,127.1645389582,36.813256776100005
15001,주유소,74823,2,127.1653731195,36.8180188316
15001,주유소,74827,2,127.165350071,36.8185560266
15001,주유소,74826,2,127.1651921232,36.8185177595
15001,주유소,136050,2,127.1153011572,36.711953029899995
15001,주유소,135061,2,127.1283557659,36.7405023208
15001,주유소,66746,2,127.1384308749,36.7618434415
15001,주유소,136142,2,127.1427663986,36.7693392896
15001,주유소,25466,2,127.0751537381,36.6898421927
15001,주유소,7408,2,127.2776101995,36.7188183123
15001,주유소,7407,2,127.2774578096,36.718685649099996
15001,주유소,7223,2,127.2833204084,36.7316190508
15001,주유소,7221,2,127.2833361024,36.7317225216
15001,주유소,7216,2,127.2834215142,36.7316153294
15001,주유소,7697,2,127.29095067600001,36.7459899388
15001,주유소,139905,2,127.27085193280001,36.7453345814
15001,주유소,139906,2,127.270990094,36.7455062137
15001,주유소,49857,2,127.2695301919,36.748668064899995
15001,주유소,64196,2,127.1585332203,36.7961398644
15001,주유소,64197,2,127.1583775209,36.796110471
15001,주유소,67514,2,127.16381303450001,36.8234973509
15001,주유소,67520,2,127.1638566665,36.8237675797
15001,주유소,67518,2,127.1637027352,36.823170213800005
15001,주유소,67516,2,127.1638352474,36.8231355865
15001,주유소,67519,2,127.16397101209999,36.823223784
15001,주유소,67513,2,127.1638591748,36.8231034521
15001,주유소,67517,2,127.16392761729999,36.8232289401
15001,주유소,67515,2,127.16382123209999,36.8232772363
15001,주유소,67533,2,127.16431857629999,36.8244259204
15001,주유소,67532,2,127.1642165657,36.8243663875
15001,주유소,67531,2,127.1641161824,36.8243006102
15001,주유소,67545,2,127.16478811719999,36.825340603899996
15001,주유소,67544,2,127.1646436684,36.825402535100004
15001,주유소,134649,2,127.312358053,36.746078365900004
15001,주유소,40344,2,127.31157496290001,36.7457032992
15001,주유소,52788,2,127.2947161449,36.7590857332
15001,주유소,52176,2,127.2171448507,36.7511144267
15001,주유소,69972,2,127.1593984075,36.8122959404
15001,주유소,52497,2,127.2589415762,36.7312831608
15001,주유소,64901,2,127.1532510216,36.7999287766
15001,주유소,73525,2,127.1533405901,36.8021034184
15001,주유소,73526,2,127.1532163912,36.8020996189
15001,주유소,64929,2,127.152485233,36.8237683688
15001,주유소,64931,2,127.15239886170001,36.8237091696
15001,주유소,64928,2,127.1525544135,36.823953797600005
15001,주유소,64930,2,127.1525184828,36.823842296500004
15001,주유소,43588,2,127.140843681,36.8028546354
15001,주유소,43586,2,127.14086261709998,36.8027082834
15001,주유소,69246,2,127.15868247450001,36.794422009
15001,주유소,48052,2,127.1580329907,36.8142021165
15001,주유소,48104,2,127.15805924200001,36.8126497275
15001,주유소,48105,2,127.15798937940001,36.812752036300004
15001,주유소,48057,2,127.158597266,36.803797087199996
15001,주유소,48058,2,127.1585060886,36.8037926925
15001,주유소,48273,2,127.15980367030001,36.7955529682
15001,주유소,48274,2,127.1597149906,36.7955407115
15001,주유소,48227,2,127.1608993894,36.793651330900005
15001,주유소,48229,2,127.1607890395,36.7936273192
15001,주유소,48230,2,127.16088915040001,36.793671829000004
15001,주유소,48419,2,127.16805122139999,36.7857976441
15001,주유소,48385,2,127.17243579870001,36.782086115
15001,주유소,48386,2,127.17226690129999,36.782243834
15001,주유소,48387,2,127.17223135799999,36.7822209174
15001,주유소,48384,2,127.1723015486,36.7822667913
15001,주유소,48397,2,127.1731387966,36.7814570022
15001,주유소,48396,2,127.1730640765,36.7813593858
15001,주유소,48358,2,127.1743413272,36.7792362286
15001,주유소,48357,2,127.1743764383,36.779266604200004
15001,주유소,48356,2,127.1744115567,36.7792953221
15001,주유소,48869,2,127.1870642974,36.7678948923
15001,주유소,48839,2,127.1906738327,36.7676352684
15001,주유소,48838,2,127.1906786743,36.7677080662
15001,주유소,48841,2,127.19083501809999,36.7676243549
15001,주유소,48755,2,127.1986124336,36.7687656524
15001,주유소,48753,2,127.1985829499,36.768540871300004
15001,주유소,48709,2,127.2042852994,36.7705752309
