건물용도코드,건물종류,건물일련번호,가점척도,경도,위도
4023,복합유통.제공업소,53456,3,127.1303385624,36.785703143
4023,복합유통.제공업소,66745,3,127.1385621223,36.7636639356
4023,복합유통.제공업소,66744,3,127.13867479790001,36.7636795445
4023,복합유통.제공업소,52481,3,127.22950170620001,36.7433361372
4023,복합유통.제공업소,48151,3,127.1590407286,36.8060429524
4023,복합유통.제공업소,48660,3,127.21106648370001,36.7746322318
4023,복합유통.제공업소,48659,3,127.2109739767,36.7745010375
4023,복합유통.제공업소,48657,3,127.21095013790001,36.7747592759
4023,복합유통.제공업소,48945,3,127.2524447545,36.770154576399996
4023,복합유통.제공업소,73931,3,127.13934014350001,36.7787751277
4023,복합유통.제공업소,16217,3,127.1626228265,36.797078417899996
4023,복합유통.제공업소,16219,3,127.16243608709999,36.7970641947
4023,복합유통.제공업소,16215,3,127.1626159865,36.7971640923
4023,복합유통.제공업소,16249,3,127.16279416479999,36.797176223200005
4023,복합유통.제공업소,16218,3,127.1624336424,36.7971584555
4023,복합유통.제공업소,16216,3,127.1623826678,36.7970977121
4023,복합유통.제공업소,26291,3,127.1537503485,36.8205925811
4023,복합유통.제공업소,6440,3,127.1678718592,36.778818809
4023,복합유통.제공업소,66687,3,127.1204000664,36.7675681267
4023,복합유통.제공업소,66686,3,127.12033458180001,36.7676109291
4023,복합유통.제공업소,66691,3,127.12263611430001,36.767734427600004
4023,복합유통.제공업소,3717,3,127.2357367175,36.7430109403
4023,복합유통.제공업소,63078,3,127.1488723056,36.7954387429
4023,복합유통.제공업소,62720,3,127.1487138099,36.804183791199996
4023,복합유통.제공업소,62721,3,127.14870662860001,36.804330043200004
4023,복합유통.제공업소,62718,3,127.1486824759,36.8042550754
4023,복합유통.제공업소,62719,3,127.1487560131,36.8042431775
4023,복합유통.제공업소,62722,3,127.1487074664,36.8043888849
4023,복합유통.제공업소,42488,3,127.1362031809,36.799209889000004
4023,복합유통.제공업소,42489,3,127.1362592747,36.7991520112
4023,복합유통.제공업소,83875,3,127.1368384482,36.8219420173
4023,복합유통.제공업소,76445,3,127.15505731409999,36.8495206496
4023,복합유통.제공업소,100479,3,127.13785717309999,36.8943839784
4023,복합유통.제공업소,116413,3,127.1503183182,36.8772010355
4023,복합유통.제공업소,95211,3,127.1375001392,36.8163450798
6203,대형판매점,88467,3,127.1325825701,36.803228999699996
6203,대형판매점,88466,3,127.13222463209999,36.8030726665
6203,대형판매점,88465,3,127.1322935677,36.8034882889
6203,대형판매점,74645,3,127.1649112257,36.7993465671
6203,대형판매점,141621,3,127.16544464100001,36.799224449
6203,대형판매점,74644,3,127.16613193319999,36.7989259442
6203,대형판매점,32203,3,127.1437668414,36.801114553299996
6203,대형판매점,32197,3,127.1442212109,36.8011453653
6203,대형판매점,8575,3,127.1220162844,36.788565817
6203,대형판매점,48071,3,127.1583018115,36.8071884496
6203,대형판매점,58496,3,127.1425866311,36.782257028800004
6203,대형판매점,27838,3,127.1533896061,36.7970302672
6203,대형판매점,41656,3,127.14361907889999,36.8007769409
6203,대형판매점,46307,3,127.1441025021,36.8008766533
6203,대형판매점,27135,3,127.14467535860001,36.8007960346
6203,대형판매점,23977,3,127.1205461694,36.7871437963
6203,대형판매점,17596,3,127.1491313604,36.807739757600004
6203,대형판매점,11765,3,127.15545260959999,36.8231587541
6203,대형판매점,88227,3,127.1333467706,36.8352094785
6203,대형판매점,88229,3,127.1331242983,36.8352942472
6203,대형판매점,76480,3,127.15568293780001,36.8506906844
6203,대형판매점,76506,3,127.15239633379998,36.8617104861
6203,대형판매점,76508,3,127.151916906,36.8612040813
6203,대형판매점,76507,3,127.1530531759,36.8621437907
6203,대형판매점,76510,3,127.15145033389999,36.8618789863
6203,대형판매점,76512,3,127.1531644806,36.8615691816
6203,대형판매점,76515,3,127.1529787327,36.861366643400004
6203,대형판매점,76516,3,127.1531300383,36.861661226100004
6203,대형판매점,76513,3,127.1513848636,36.861964890500005
6203,대형판매점,76514,3,127.1513288764,36.8619589582
6203,대형판매점,76505,3,127.1530990328,36.8619622699
6203,대형판매점,76517,3,127.1531622902,36.8616197354
6203,대형판매점,76511,3,127.15147699709999,36.8617438487
6203,대형판매점,76509,3,127.15302403860001,36.8613571538
6203,대형판매점,95404,3,127.1337770996,36.8268626893
6203,대형판매점,95368,3,127.1361916872,36.825796941
6203,대형판매점,138368,3,127.1223392164,36.8385687913
6203,대형판매점,119042,3,127.12593368389999,36.8002788108
6203,대형판매점,86544,3,127.1252220387,36.7948230508
6203,대형판매점,86546,3,127.1246170461,36.794612755100005
6203,대형판매점,90673,3,127.1270998116,36.7959245957
6203,대형판매점,129583,3,127.1202743359,36.8496676998
6203,대형판매점,84880,3,127.1224282361,36.8445668489
6203,대형판매점,84888,3,127.1227012472,36.8451119389
6203,대형판매점,107268,3,127.12686862940001,36.8318807429
6203,대형판매점,87238,3,127.13153873370001,36.8342772436
6203,대형판매점,87239,3,127.13155931280001,36.834060342
6203,대형판매점,87186,3,127.1377480899,36.8334161727
6203,대형판매점,87185,3,127.1376773514,36.8329862208
6203,대형판매점,87206,3,127.14130021049999,36.8337409622
6203,대형판매점,87205,3,127.14141992219999,36.8338220725
6203,대형판매점,119101,3,127.1234153724,36.8461666687
6203,대형판매점,119100,3,127.1234816481,36.8463123178
6203,대형판매점,119099,3,127.1235556668,36.8464581957
6203,대형판매점,119098,3,127.1236270575,36.8466050052
6203,대형판매점,119097,3,127.1237080443,36.8467480934
6203,대형판매점,119092,3,127.1236663749,36.8495983688
6203,대형판매점,119075,3,127.12548904799999,36.8503772858
6203,대형판매점,119216,3,127.1284283391,36.8523743923
6203,대형판매점,119217,3,127.1279813881,36.852111365
6203,대형판매점,119218,3,127.12890697540001,36.8526248453
6203,대형판매점,119215,3,127.12719499139999,36.8516564919
6203,대형판매점,119214,3,127.1275558977,36.851869626399996
6203,대형판매점,78090,3,127.1385919525,36.8268741686
6203,대형판매점,108281,3,127.1415325892,36.828121935300004
6203,대형판매점,91567,3,127.1400969715,36.8262894929
6203,대형판매점,79760,3,127.1176493541,36.7997705333
6203,대형판매점,79761,3,127.1177689222,36.8006529168
6203,대형판매점,107202,3,127.1465690365,36.8325251908
6203,대형판매점,114144,3,127.1102903326,36.8110446056
6203,대형판매점,82608,3,127.13616940450001,36.8358492044
6203,대형판매점,84777,3,127.1372826175,36.8377132061
6203,대형판매점,103760,3,127.1384931123,36.8264266719
6203,대형판매점,107322,3,127.1335072762,36.8278627577
6203,대형판매점,103743,3,127.13734994110001,36.8298571102
6203,대형판매점,88804,3,127.1195688598,36.8029988029
6204,대형점,83815,3,127.1343145836,36.8150683558
6204,대형점,10345,3,127.14017459,36.8086396096
6204,대형점,2301,3,127.2033677075,36.7709502121
6204,대형점,21376,3,127.3449557527,36.7762907077
6204,대형점,11846,3,127.15846276399999,36.8228133686
6204,대형점,23153,3,127.1191396918,36.7225902315
6204,대형점,23152,3,127.1191791535,36.722615580799996
6204,대형점,76521,3,127.1503711633,36.8621369965
6204,대형점,76525,3,127.1500732625,36.8620901561
6204,대형점,77583,3,127.1243318956,36.8230899092
6204,대형점,77584,3,127.1245942819,36.8229497731
6204,대형점,119025,3,127.126796506,36.799547275900004
6204,대형점,114868,3,127.1250264203,36.8221815598
6204,대형점,83242,3,127.1532469418,36.8798568761
6204,대형점,114259,3,127.12384489370001,36.8227032021
6204,대형점,114256,3,127.1235949377,36.8219337246
6204,대형점,114255,3,127.1240185267,36.8218487949
6204,대형점,81567,3,127.2012208565,36.872102087399995
7101,종합병원,136560,3,127.1792761034,36.7754882281
7101,종합병원,74450,3,127.1726765441,36.8416870072
7101,종합병원,74480,3,127.1724210143,36.8432758006
7101,종합병원,74449,3,127.1741763606,36.8410473046
7101,종합병원,38544,3,127.1359251813,36.8021638152
7101,종합병원,38623,3,127.1349220848,36.8021711775
7101,종합병원,38622,3,127.13450138190001,36.8023536156
7101,종합병원,38618,3,127.1346313261,36.8027859019
7101,종합병원,38600,3,127.1367320757,36.8032379653
7101,종합병원,38607,3,127.135916525,36.8027484986
7101,종합병원,38612,3,127.1352213508,36.8025893449
7101,종합병원,38598,3,127.1367040416,36.8030866157
7101,종합병원,38601,3,127.13659696399999,36.803223295900004
7101,종합병원,38604,3,127.1365310276,36.8032259861
7101,종합병원,38608,3,127.1357236342,36.8028093515
7101,종합병원,38599,3,127.136650331,36.803157788
7101,종합병원,38605,3,127.13681923280001,36.8033946003
7101,종합병원,38606,3,127.1369791697,36.8031360998
7101,종합병원,38617,3,127.1346172284,36.8028873342
7101,종합병원,38610,3,127.1355996609,36.8029071727
7101,종합병원,38609,3,127.13624282100001,36.803113859899995
7101,종합병원,38596,3,127.1367259086,36.8027712703
7101,종합병원,38602,3,127.1363450683,36.8032075533
7101,종합병원,38611,3,127.135351356,36.802097272800005
7101,종합병원,38603,3,127.13639679120001,36.8031097291
7101,종합병원,38619,3,127.134858475,36.8028847326
7101,종합병원,38597,3,127.136782904,36.803029928499996
7101,종합병원,38616,3,127.1346720064,36.8029067642
7101,종합병원,38595,3,127.1367815374,36.8028115969
7101,종합병원,38615,3,127.1351658755,36.8028083588
7101,종합병원,90731,3,127.1254223023,36.7941739031
7101,종합병원,90730,3,127.1254858797,36.794340453000004
7101,종합병원,90729,3,127.1251866892,36.794203856399996
